Record ID,Aircraft: Type,Airport: Name,Altitude bin,Aircraft: Make/Model,Wildlife: Number struck,Wildlife: Number Struck Actual,Effect: Impact to flight,FlightDate,Effect: Indicated Damage,Aircraft: Number of engines?,Aircraft: Airline/Operator,Origin State,When: Phase of flight,Conditions: Precipitation,Remains of wildlife collected?,Remains of wildlife sent to Smithsonian,Wildlife: Size,Conditions: Sky,Wildlife: Species,Pilot warned of birds or wildlife?,Cost: Total $,Feet above ground,Number of people injured,Is Aircraft Large?
214917,Airplane,GERALD R FORD INTL,< 1000 ft,DC-9,1,1,Unknown,6/11/02 0:00,No damage,2,NORTHWEST AIRLINES,Michigan,Take-off run,Unknown,False,False,Small,Some Cloud,Red-winged blackbird,N,0.0,0.0,0,No
216445,Airplane,PALM BEACH INTL,< 1000 ft,B-737-700,1,1,Unknown,6/11/02 0:00,No damage,2,SOUTHWEST AIRLINES,Florida,Landing Roll,Unknown,False,False,Large,Some Cloud,Unknown bird - large,N,0.0,0.0,0,Yes
213972,Airplane,WASHINGTON DULLES INTL ARPT,< 1000 ft,CL-RJ100/200,1,1,Unknown,6/12/02 0:00,No damage,2,ATLANTIC COAST AIRLINES,DC,Approach,Unknown,False,False,Small,Some Cloud,Rock pigeon,Y,0.0,20.0,0,No
207996,Airplane,DALLAS/FORT WORTH INTL ARPT,< 1000 ft,MD-88,1,1,Unknown,6/12/02 0:00,No damage,2,DELTA AIR LINES,Texas,Landing Roll,Unknown,False,False,Small,No Cloud,Unknown bird - small,N,0.0,0.0,0,No
213940,Airplane,RALEIGH-DURHAM INTL,< 1000 ft,EMB-135,1,1,Unknown,6/13/02 0:00,No damage,2,AMERICAN EAGLE AIRLINES,North Carolina,Landing Roll,Unknown,False,False,Medium,Some Cloud,Unknown bird - medium,N,0.0,0.0,0,No
215850,Airplane,SACRAMENTO INTL,< 1000 ft,A-320,1,1,Unknown,6/13/02 0:00,No damage,2,UNITED AIRLINES,California,Landing Roll,Unknown,False,False,Small,No Cloud,Unknown bird - small,N,0.0,0.0,0,No
211271,Airplane,NW ARKANSAS REGIONAL,< 1000 ft,EMB-135,1,1,Unknown,6/13/02 0:00,No damage,2,AMERICAN EAGLE AIRLINES,Arkansas,Landing Roll,Unknown,False,False,Small,Some Cloud,Unknown bird - small,N,0.0,0.0,0,No
209612,Airplane,PENSACOLA REGIONAL,< 1000 ft,B-737-300,1,1,Unknown,6/14/02 0:00,No damage,2,US AIRWAYS*,Florida,Approach,Unknown,False,False,Small,Overcast,Unknown bird - small,N,0.0,100.0,0,Yes
212177,Airplane,BUFFALO-NIAGARA INTL,< 1000 ft,B-737,1,1,Unknown,6/14/02 0:00,No damage,2,CONTINENTAL AIRLINES,New York,Landing Roll,Unknown,False,False,Small,Some Cloud,Unknown bird - small,N,0.0,0.0,0,Yes
205504,Airplane,GEORGE BUSH INTERCONTINENTAL,< 1000 ft,A-320,1,1,Unknown,6/15/02 0:00,No damage,2,AMERICA WEST AIRLINES,Texas,Landing Roll,Unknown,False,False,Small,No Cloud,Unknown bird - small,N,0.0,0.0,0,No
209184,Airplane,HAMILTON ISLAND,< 1000 ft,B-727-100,1,1,Unknown,6/15/02 0:00,No damage,3,BUSINESS,Unknown,Approach,Unknown,False,False,Small,Some Cloud,Unknown bird - small,N,0.0,500.0,0,No
212175,Airplane,CLEVELAND-HOPKINS INTL ARPT,< 1000 ft,MD-82,1,1,Unknown,6/15/02 0:00,No damage,2,AMERICAN AIRLINES,Ohio,Approach,Unknown,False,False,Small,Overcast,Unknown bird - small,N,0.0,150.0,0,No
209920,Airplane,MEMPHIS INTL,< 1000 ft,AVRO RJ 85,1,1,Unknown,6/16/02 0:00,No damage,4,MESABA AIRLINES,Tennessee,Approach,Unknown,False,False,Small,No Cloud,Unknown bird - small,Y,0.0,50.0,0,No
211878,Airplane,RONALD REAGAN WASHINGTON NATL,< 1000 ft,A-319,1,1,Unknown,6/17/02 0:00,No damage,2,US AIRWAYS*,DC,Approach,Unknown,False,False,Small,Some Cloud,Unknown bird - small,N,0.0,50.0,0,No
211325,Airplane,RONALD REAGAN WASHINGTON NATL,< 1000 ft,MD-88,1,1,Unknown,6/17/02 0:00,Caused damage,2,DELTA AIR LINES,DC,Take-off run,Unknown,False,False,Large,No Cloud,Canada goose,Y,0.0,0.0,0,No
213293,Airplane,JOHNSTON ATOLL ARPT,< 1000 ft,B-737-200,1,1,Aborted Take-off,6/17/02 0:00,No damage,2,ALLEGHENYAIRLINES,Prince Edward Island,Take-off run,Unknown,False,False,Small,Some Cloud,Unknown bird - small,Y,0.0,0.0,0,Yes
215641,Airplane,INDIANAPOLIS INTL,< 1000 ft,C-310,1,1,Unknown,6/17/02 0:00,No damage,2,BUSINESS,Indiana,Take-off run,Unknown,False,False,Medium,No Cloud,Red-tailed hawk,N,0.0,0.0,0,No
216422,Airplane,GENERAL MITCHELL INTL,< 1000 ft,DORNIER 328,1,1,Unknown,6/18/02 0:00,No damage,2,AIR WISCONSIN AIRLINES,Wisconsin,Taxi,Unknown,False,False,Small,Some Cloud,Unknown bird - small,N,0.0,0.0,0,No
217007,Airplane,SALT LAKE CITY INTL,< 1000 ft,B-757-200,1,1,Unknown,6/18/02 0:00,No damage,2,DELTA AIR LINES,Utah,Approach,Unknown,False,False,Small,No Cloud,Unknown bird - small,N,0.0,6.0,0,Yes
212168,Airplane,HILO INTL ARPT,< 1000 ft,B-717-200,1,1,Unknown,6/18/02 0:00,No damage,2,HAWAIIAN AIR,Hawaii,Climb,Unknown,False,False,Medium,Some Cloud,Unknown bird - medium,N,0.0,5.0,0,No
217008,Airplane,JOHN F KENNEDY INTL,< 1000 ft,B-747-1/200,1,1,Precautionary Landing,6/18/02 0:00,Caused damage,4,EVERGREEN INTL AIRLINES,New York,Take-off run,Unknown,True,True,Medium,No Cloud,Red-tailed hawk,Y,0.0,0.0,0,No
214074,Airplane,NEWARK LIBERTY INTL ARPT,< 1000 ft,B-767-400,1,1,Unknown,6/19/02 0:00,No damage,2,CONTINENTAL AIRLINES,New Jersey,Landing Roll,Unknown,False,False,Medium,No Cloud,Unknown bird - medium,Y,0.0,0.0,0,Yes
